resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay href,weekDay 4,weekDay href 2,weekDay 5,weekDay 6,colInst,colInst 2,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,headerSect 7,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,colCode 2,weekDay 7,dayInfo 7,dayInfo 8,dayInfo 9,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,headerSect 13,weekDay href 8,weekDay 14,dayInfo 31,alignC 9,extraTxt 9,headerSect 79,legendControl 4,extraTxt 10,extraTxt 11,extraTxt 13
PHL,Environmental Ethics,PHL273H1-F,"A study of environmental issues raising questions of concern to moral and political philosophers, such as property rights, responsibility for future generations, and the interaction of human beings with the rest of nature. Typical issues: sustainable development, alternative energy, the preservation of wilderness areas, animal rights.","PHLB02H3, PHL273H5",Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC0101,Tuesday,—,13:00,14:30,Thursday,—,13:00,14:30,BT 101,https://map.utoronto.ca/?id=1809#!m/494605,,,,,"Thomson, J.",,of  available,95,200,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494605,BT 101,,,,Room,,,,
PHL,Introduction to Ethics,PHL275H1-F,"An introduction to central issues in ethics or moral philosophy, such as the objectivity of values, the nature of moral judgements, rights and duties, the virtues, and consequentialism. Readings may be drawn from a variety of contemporary and historical sources.","PHLB07H3, PHL275H5",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Monday,—,12:00,13:00,Wednesday,—,12:00,13:00,MC 102,https://map.utoronto.ca/?id=1809#!m/494474,UC D301,https://map.utoronto.ca/?id=1809#!m/494517,UC 67,UC D301,"Hurka, T.",,of  available,1,300,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Friday,—,12:00,13:00,of  available,0,25,No,Online - Synchronous (See Delivery Instructions.),Activity,https://map.utoronto.ca/?id=1809#!m/494474,MC 102,—,—,,Room,Delivery instructions,Note:,Online tutorials will be live-streamed at the scheduled meeting times. Students will need a camera and microphone to participate in tutorials.,
PSL,Introduction to Physiologic Adaptations of Marine Mammals,PSL280H1-F,"Systems approach to physiology of marine mammals in their aquatic environment. Highlights unique features of cardiovascular, respiratory, renal, urinary, and reproductive systems. Introduces relevant physiology, and makes comparisons to human condition and disease.","(BIO120H1, BIO130H1); CHM136H1/CHM138H1/CHM151Y1 or permission of the course coordinator.",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,LEC0101,Thursday,—,12:00,14:00,,,,,MS 2172,https://map.utoronto.ca/?id=1809#!m/494491,,,,Tuesday,"Belanger, M.","Wittnich, C.",of  available,73,140,Yes: 0 student,In Person,,,,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,PRA0101,Contact DEPT,—,11:00,12:00,of  available,38,70,No,In Person,Status / Notes,,,,,,Room,Timetable instructions,Note:,Please book your preferred Practical Session.,
PHL,Bioethics,PHL281H1-S,"An introduction to the study of moral and legal problems in medical practice and in biomedical research; the development of health policy. Topics include: concepts of health and disease, patient rights, informed consent, allocation of scarce resources, euthanasia, abortion, genetic and reproductive technologies, human research, and mental health.","PHLB09H3, PHL283H5",Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC0101,Tuesday,—,12:00,13:00,Thursday,—,12:00,13:00,BT 101,https://map.utoronto.ca/?id=1809#!m/494605,UC 152,https://map.utoronto.ca/?id=1809#!m/494517,UC 65,UC 67,"Franklin-Hall, A.",,of  available,0,375,Yes: 24 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,"ASMAJ1618 MA ETHICS, SOCIETY & LAW",ASMIN1107 MI ENVIRONMENTAL ETHICS,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Friday,—,09:00,10:00,of  available,1,25,No,In Person,Activity,https://map.utoronto.ca/?id=1809#!m/494605,BT 101,—,—,,Room,,,,
PHL,Aesthetics,PHL285H1-F,"An historical and systematic introduction to the main questions in the philosophy of art and beauty from Plato to the present. These include the relation between art and beauty, the nature of aesthetic experience, definitions and theories of art, the criteria of excellence in the arts, and the function of art criticism.","PHLB03H3, PHL285H5",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,LEC0101,Tuesday,—,12:00,13:30,Thursday,—,12:00,13:30,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,,,,,"Gagliardi, F.",,of  available,65,200,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494563,OI G162,,,,Room,,,,
PHL,Business Ethics,PHL295H1-F,"Philosophical issues in ethics, social theory, and theories of human nature insofar as they bear on contemporary conduct of business. Issues include: Does business have moral responsibilities? Can social costs and benefits be calculated? Does modern business life determine human nature or the other way around? Do political ideas and institutions such as democracy have a role within business?","PHLB06H3, PHL295H5",Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC5101,Wednesday,—,18:00,21:00,,,,,MP 102,https://map.utoronto.ca/?id=1809#!m/494490,,,,,"Westfall, M.",,of  available,1,120,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,
PSL,Research Opportunity Program,PSL299Y1-Y,Credit course for supervised participation in faculty research project. Details at . Not eligible for CR/NCR option.,Science,Distribution Requirement:,https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program,,,,LEC0101,—,—,,,—,—,,,—,,—,,—,—,"Giacca, A.","Belsham, D.",of  available,9998,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,Activity,Time,Activity,Instructor(s),Space Availability,Wait List,LEC0301,—,,,,of  available,9998,9999,No,In Person,Status / Notes,,,—,,,,Timetable instructions,Note:,https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program,
PCL,Research Readiness and Advancing Biomedical Discoveries,JPM300H1-S,"Explore how scientists leverage their knowledge and skills to advance academic biomedical discoveries from the laboratory to improve patient health through either commercialization or not-for-profit approaches. Students will learn about innovation and develop key research and industry skills including intellectual property, ethics, budget and project management; learn how to critically evaluate scientific evidence and effectively communicate to a wide audience. This hybrid student-centered course will include interactive online modules and in-class group work. Course work will focus on developing skills and knowledge to help you be successful in diverse research courses and future careers. Not eligible for CR/NCR.",10.0 FCE completed; BCH210H1/BCH242Y1,Prerequisite:,"PSL300H1, PSL301H1",Recommended Preparation:,Science,Distribution Requirement:,LEC0101,Thursday,—,10:00,12:00,,,,,WB 130,https://map.utoronto.ca/?id=1809#!m/494460,,,,,"Andreopoulos, S.","Arnot, M.",of  available,0,80,Yes: 7 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0482 MA PHYSIOLOGY  - Year 3,ASMAJ1762 MA BIOCHEMISTRY  - Year 3,ASMAJ2082 MA PHARMACOLOGY  - Year 3,ASMAJ2573 MA BIOMEDICAL TOXICOLOGY  - Year 3,ASSPE0482 SP PHYSIOLOGY  - Year 3,,,,,,,,,,,,,,,,,,,,,,Living Things and Their Environment (4),Room,Timetable instructions,Note:,"This is a hybrid course. Online modules are followed by in-class time focused on active learning and team work. Student inquiries should be directed to the course coordinator: Dr. Michelle Arnot, .",Breadth Requirement:
PSL,Human Physiology I,PSL300H1-F,"Principles of neurophysiology, endocrinology and reproductive physiology for students enroled in Life Science programs.","PSL201Y1, PSL302Y1",Exclusion:,"BIO130H1; CHM136H/CHM138H1/CHM151Y1; and 1 FCE from any of the following: MAT135H1, MAT136H1, MAT137Y1, MAT157Y1, PHY131H1, PHY132H, PHY151H1, PHY152H1",Recommended Preparation:,Science,Distribution Requirement:,LEC9901,Monday,—,14:00,15:00,Wednesday,—,14:00,15:00,—,,—,,—,,"Kee, N.","Miliotis, H.",of  available,6,1210,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,,,,,,,,,,,,,,,,,—,,Living Things and Their Environment (4),Room,Timetable instructions,Note:,"Please note that term tests will be timed and will take place on Mondays, Wednesdays or Fridays from 14:00 to 15:00 (Toronto time) on scheduled dates (TBA).",Breadth Requirement:
PHL,Early Greek Philosophy,PHL301H1-S,"A study of selected Greek philosophers before Plato. Topics may include the Pre-Socratic natural philosophers, Parmenides and the Eleatics, and the so-called sophistic movement.","PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Tuesday,—,15:00,18:00,,,,,BL 112,https://map.utoronto.ca/?id=1809#!m/494536,,,,,"Barney, R.",,of  available,2,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,,,,,,Room,,,,
PSL,Human Physiology II,PSL301H1-S,"Principles of respiratory, cardiovascular, gastrointestinal, and renal physiology for students enroled in Life Science programs.","PSL201Y1, PSL302Y1",Exclusion:,"BIO130H1; CHM136H1/CHM138H1/CHM151Y1; and 1 FCE from any of the following: MAT135H1, MAT136H1, MAT137Y1, MAT157Y1, PHY131H1, PHY132H, PHY151H1, PHY152H1",Recommended Preparation:,Science,Distribution Requirement:,LEC9901,Monday,—,14:00,15:00,Wednesday,—,14:00,15:00,—,,—,,—,,"French, M.",,of  available,187,1150,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,,,,,,,,,,,,,,,,,—,,Living Things and Their Environment (4),Room,Timetable instructions,Note:,"Please note that term tests will be timed and will take place on Mondays, Wednesdays or Fridays from 14:00 to 15:00 (Toronto time) on scheduled dates (TBA).",Breadth Requirement:
PHL,Ancient Philosophy After Aristotle,PHL302H1-S,"A study of selected themes in post-Aristotelian philosophy. Topics may include Stoicism, Epicureanism, Neoplatonism, and various forms of scepticism.","PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC5101,Monday,—,18:00,19:30,Wednesday,—,18:00,19:30,SS 2111,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,of  available,7,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,SS 2111,,—,,Room,,,,
PHL,Plato,PHL303H1-F,"Selected metaphysical, epistemological, and ethical themes in Plato’s dialogues.","PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,PHL301H5,Exclusion:,Humanities,Distribution Requirement:,LEC0101,Monday,—,13:00,14:30,Wednesday,—,13:00,14:30,JH 100A,https://map.utoronto.ca/?id=1809#!m/494560,,,,,"Gerson, L.",,of  available,12,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494560,JH 100A,,,"Thought, Belief and Behaviour (2)",Room,,,,Breadth Requirement:
PHL,Aristotle,PHL304H1-S,"Selected anthropological, ethical and metaphysical themes in the works of Aristotle.","PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,PHL302H5,Exclusion:,Humanities,Distribution Requirement:,LEC0101,Monday,—,10:30,12:00,Wednesday,—,10:30,12:00,FE 326,https://map.utoronto.ca/?id=1809#!m/494550,,,,,"Gerson, L.",,of  available,0,35,Yes: 1 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494550,FE 326,,,"Thought, Belief and Behaviour (2)",Room,,,,Breadth Requirement:
PSL,"Topics in Cellular, Molecular and Organismic Physiology I",PSL304H1-F,"Control systems, feedback, networks, and both neonatal and adult cardiovascular and respiratory control are the topics examined in detail using homeostasis as a unifying theme. Tutorials involve computer simulations, case studies and/or experimental design. This course is designed for students in the Physiology Specialist and Biological Physics Specialist Programs, although permission is granted to students in other programs upon approval by the Department.","BCH210H1, PSL300H1, PSL301H1, MAT100-series",Prerequisite:,PSL303Y1,Exclusion:,PSL372H1,Recommended Preparation:,LEC0101,Monday,—,14:00,15:00,Wednesday,—,14:00,15:00,MS 4279,https://map.utoronto.ca/?id=1809#!m/494491,,,,,"Bolz, S.","Horner, R.",of  available,24,50,Yes: 0 student,In Person,Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494491,MS 4279,—,,Science,Room,Timetable instructions,Note:,This course may be added on your ACORN account during your enrolment start date. The interim status (INT) will be updated to approved (APP) or refused (REF) in August. If you require additional information please contact Eva Eng at .,Distribution Requirement:
PSL,"Topics in Cellular, Molecular and Organismic Physiology II",PSL305H1-S,"Molecular, cellular and organismic physiology of the central nervous system, gut, pancreas and glucose-sensing tissues; CNS diseases, obesity and diabetes are used as model systems. Tutorials involve computer simulations. This course is designed for students in the Physiology Specialist and Biological Physics Specialist Programs, although permission is granted to students in other programs upon approval by the Department.","BCH210H1, PSL300H1, PSL301H1, MAT100-series",Prerequisite:,PSL303Y1,Exclusion:,PSL372H1,Recommended Preparation:,LEC0101,Monday,—,14:00,15:00,Wednesday,—,14:00,15:00,MS 2173,https://map.utoronto.ca/?id=1809#!m/494491,,,,,"Brubaker, P.",,of  available,27,50,Yes: 0 student,In Person,Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494491,MS 2173,—,,Science,Room,Timetable instructions,Note:,This course may be added on your ACORN account during your enrolment start date. The interim status (INT) will be updated to approved (APP) or refused (REF) in August. If you require additional information please contact Eva Eng at .,Distribution Requirement:
PHL,Augustine,PHL307H1-F,"Central themes in St. Augustine's Christian philosophy, such as the problem of evil, the interior way to God, the goal of human life and the meaning of history.","PHL200Y1/PHL205H1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Wednesday,—,12:00,15:00,,,,,TF 201,https://map.utoronto.ca/?id=1809#!m/494581,,,,,"King, P.",,of  available,1,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,,,,,,Room,,,,
PHL,Aquinas,PHL308H1-F,"Philosophical innovations that St. Thomas Aquinas made in the course of constructing a systematic theology: essence and existence, the Five Ways, separate intelligences, the human soul and ethics.","PHL200Y1/PHL205H1/PHL206H1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Tuesday,—,13:30,15:00,Thursday,—,13:30,15:00,OI 2295,https://map.utoronto.ca/?id=1809#!m/494563,,,,,"Black, D.",,of  available,8,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494563,OI 2295,,,,Room,,,,
PHL,The Rationalists,PHL310H1-F,"Central philosophical problems in philosophers such as Descartes, Spinoza, Leibniz, and their contemporaries.","PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,PHLC35H3,Exclusion:,Humanities,Distribution Requirement:,LEC5101,Monday,—,18:00,19:30,Wednesday,—,18:00,19:30,LM 157,https://map.utoronto.ca/?id=1809#!m/494502,,,,,"Vasquez Villavicencio, M.",,of  available,21,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494502,LM 157,,,"Thought, Belief and Behaviour (2)",Room,,,,Breadth Requirement:
PHL,The Empiricists,PHL311H1-S,"Central philosophical problems in philosophers such as Locke, Berkeley, Hume, and their contemporaries.","PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,PHLC36H3,Exclusion:,Humanities,Distribution Requirement:,LEC5101,Monday,—,18:00,19:30,Wednesday,—,18:00,19:30,BL 112,https://map.utoronto.ca/?id=1809#!m/494536,,,,,"Vasquez Villavicencio, M.",,of  available,9,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494536,BL 112,,,"Thought, Belief and Behaviour (2)",Room,,,,Breadth Requirement:
PHL,Kant,PHL314H1-F,A systematic study of The Critique of Pure Reason.,"PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,"PHLC37H3, PHL314H5",Exclusion:,Humanities,Distribution Requirement:,LEC0101,Tuesday,—,12:00,15:00,,,,,SS 1074,https://map.utoronto.ca/?id=1809#!m/494510,,,,,"Ripstein, A.",,of  available,2,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,,,,,"Thought, Belief and Behaviour (2)",Room,,,,Breadth Requirement:
PHL,Hegel,PHL316H1-F,"An examination of Hegel's project of absolute knowing, its philosophical assumptions, and its implications for history, science and experience.","PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Monday,—,15:00,18:00,,,,,TF 200,https://map.utoronto.ca/?id=1809#!m/494581,,,,,"Stang, N.",,of  available,4,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,,,,,,Room,,,,
PHL,Marx and Marxism,PHL317H1-S,"An examination of some of the leading themes in the philosophy of Karl Marx. Developments of Marxist philosophy by later thinkers, and critics of Marxism, may also be considered.",7.5 courses (in any field) with at least 1.5 in philosophy,Prerequisite:,PHL265H1/POL200Y1,Recommended Preparation:,Humanities,Distribution Requirement:,LEC5101,Tuesday,—,17:00,20:00,,,,,CR 404,https://map.utoronto.ca/?id=1809#!m/494580,,,,,"Thomson, J.",,of  available,0,60,Yes: 17 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,,,,,"Thought, Belief and Behaviour (2)",Room,,,,Breadth Requirement:
PHL,Philosophy and Psychoanalytic Theory,PHL319H1-S,"A study of the fundamentals of psychoanalytic theory from a philosophical perspective, focusing on the works of Freud and others. Topics include mind (conscious and unconscious); instinctual drives, mechanisms of defence, the structure of personality, civilization, the nature of conscience, and the status of psychoanalysis.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,LEC0101,Tuesday,—,12:00,15:00,,,,,,,,,—,,"Comay, R.",,of  available,0,35,Yes: 34 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,,,,,,Room,,,,
PHL,Phenomenology,PHL320H1-F,"Phenomenology is a method used in the analysis of human awareness and subjectivity. It has been applied in the social sciences, in the humanities, and in philosophy. Texts studied are from Husserl and later practitioners, e.g., Heidegger, Sartre, Merleau-Ponty, Gurwitsch, and Ricoeur.","PHL210Y1/PHL217H1, 7.5 courses (in any field) with at least 1.5 in philosophy",Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Monday,—,12:00,13:30,Wednesday,—,12:00,13:30,BF 323,https://map.utoronto.ca/?id=1809#!m/494497,,,,,"Dika, T.",,of  available,2,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Philosophy   (Faculty of Arts and Science),"Department of Philosophy   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMIN1107 MI ENVIRONMENTAL ETHICS,ASSPE1361 SP MATHEMATICS & PHILOSOPHY,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494497,BF 323,,,,Room,,,,
