resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt href,extraTxt 7,extraTxt 8,extraTxt href 2,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,headerSect 7,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,colCode 2,weekDay 4,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 5,weekDay 7,alignC,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,headerSect 13,headerSect 25,weekDay 31,dayInfo 31,dayInfo 32,dayInfo 33,weekDay href,weekDay href 3,alignC 13,extraTxt 15,extraTxt 16
EAS,Modern Standard Japanese IVa,EAS460H1-S,Timetable instructions,Note:,See EAS's website for . Returning students who need to take the placement test must register at the beginning of June.,placement and enrolment instructions,https://www.eas.utoronto.ca/languages/enrolment-instructions/japanese,This is a high intermediate level Japanese course that focuses on oral/aural communication. Native or near-native speakers are not permitted to take this course. Students who do not meet the prerequisite must go through placement process conducted by the Department. See  for details.,www.eas.utoronto.ca/languages/enrolment-instructions/japanese,http://www.eas.utoronto.ca/languages/enrolment-instructions/japanese,EAS320Y1 (70% minimum)/equivalent as determined by placement process. Students who did not take the prerequisite in the preceding academic year must take the placement test.,Prerequisite:,"EAS460Y1,EAS463Y0",Exclusion:,Humanities,Distribution Requirement:,LEC0101,Monday,—,10:00,12:00,OI 2199,OI 2199,"Park, J.",of  available,4,16,Yes: 0 student,In Person,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1058 MA EAST ASIAN STUDIES,ASSPE1058 SP EAST ASIAN STUDIES,,,,,,,,,,,,,,,,,,,,,Room,Thursday,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494563,,,Creative and Cultural Representations (1),Breadth Requirement:
EAS,Modern Standard Japanese IVb,EAS461H1-F,Timetable instructions,Note:,See EAS's website for . Returning students who need to take the placement test must register at the beginning of June.,placement and enrolment instructions,https://www.eas.utoronto.ca/languages/enrolment-instructions/japanese,This is a high intermediate level Japanese course that focuses on reading and writing skills. Native or near-native speakers are not permitted to take this course. Students who do not meet the prerequisite must go through placement process conducted by the Department. See  for details.,www.eas.utoronto.ca/languages/enrolment-instructions/japanese,http://www.eas.utoronto.ca/languages/enrolment-instructions/japanese,EAS320Y1 (70% minimum)/equivalent as determined by placement process. Students who did not take the prerequisite in the preceding academic year must take the placement test.,Prerequisite:,"EAS461Y1,EAS463Y0",Exclusion:,Humanities,Distribution Requirement:,LEC0101,Monday,—,10:00,12:00,OI 2199,OI 2199,"Park, J.",of  available,1,16,Yes: 0 student,In Person,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1058 MA EAST ASIAN STUDIES,ASSPE1058 SP EAST ASIAN STUDIES,,,,,,,,,,,,,,,,,,,,,Room,Thursday,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494563,,,Creative and Cultural Representations (1),Breadth Requirement:
ES,Palaeoenvironmental Studies,ESS461H1-F,,,,,,"The use of proxy data (terrestial and aquatic microfossils) to infer past environmental conditions. The nature and extent of Quaternary environmental change is considered in the context of assessing current issues such as acidification, metal pollution, eutrophication and global climate change. Paleoenvironmental techniques are applied in the laboratory.",,,ESS261H1,Prerequisite:,GLG436H1,Exclusion:,"ESS362H1, ENV233H1",Recommended Preparation:,LEC0101,Friday,—,13:00,15:00,ES 2100,,"Bollmann, J.",of  available,27,35,Yes: 0 student,In Person,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,PRA0101,Friday,—,15:00,18:00,ES 2100 / ES 2101,,—,of  available,27,35,No,In Person,Status / Notes,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,https://map.utoronto.ca/?id=1809#!m/494499,,Science,Distribution Requirement:
DRAMA,"Black Playwrights: Resistance, Resilience and Transformation",DRM462H1-F,,,,,,"An exploration of dramatic literature by writers from the African Diaspora (Canada, USA, UK and the Caribbean) from 1959 to the present. The course will identify playwrights central to the development of Black theatre, their plays, and performance practices. Emphasis will be placed on dramaturgical analysis, sociohistorical context, the author’s influences, and relevant critical writing, in order to evaluate these works as sites of social resistance, cultural resilience, and aesthetic transformation. Selected authors include: Lorraine Hansberry, Wole Soyinka, August Wilson, Derek Walcott, Debbie Hunter Green, George Elliott Clarke, Tarell Alvin McCraney, Walter Borden, Suzan-Lori Parks, Kwame Kwei-Armah and Ntozake Shange.",,,14.0 credits including DRM220Y1,Prerequisite:,"DRM488H1 (Senior Seminar in Drama, Theatre and Performance Studies: Black Playwrights); offered in Fall 2019",Exclusion:,Humanities,Distribution Requirement:,LEC5101,Monday,—,17:00,20:00,KS 330,,"Sears, D.",of  available,2,16,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2148 MA DRAMA,ASSPE2148 SP DRAMA,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494461,,,Creative and Cultural Representations (1),Breadth Requirement:
ES,Global Biogeochemical Cycles,ESS462H1-S,,,,,,"A seminar course focusing on the exchange of matter (i.e. elements, minerals) between the Earth’s atmosphere, ocean, and biosphere. Course-related topics include global biogeochemical cycling of carbon, nitrogen, phosphorous, silicon, iron, and zinc (amongst other elements) and will include both terrestrial and marine ecosystems. Examples and case studies will be viewed from the paleo-, contemporary and potential future global change perspectives. The overall content of course readings will be determined by student interest, as students have the freedom to choose topics (readings) of personal interest. Offered in alternate years.",,,"10.0 credits from any of ESS/MAT/PHY/CHM/EEB/GGR, including ESS361H1/ESS362H1/GGR305H1",Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Wednesday,—,10:00,12:00,ES 2119,,"Cowling, S.",of  available,18,30,No,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Earth Sciences   (Faculty of Arts and Science),"Department of Earth Sciences   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,,,,
ES,Biological Perspectives on Earth System Evolution,ESS464H1-F,,,,,,"A seminar course focussing on ways that the Earth's biosphere (terrestrial and marine) has altered the overall functioning of the Earth System over geological time, including (1) influence of terrestrial vegetation on surface processes such as palaeosol development, river geomorphology, erosion, and cycling of major biogeochemical nutrients on land, (2) influence of the marine biosphere on the concentration of O2 and CO2 in the atmosphere, including the origin of the stratospheric ozone layer, and (3) the interactive influence of the terrestrial and marine biosphere on atmospheric moisture transport, production of latent relative to sensible heat fluxes, and the development of the planetary boundary layer. Offered in alternate years.",,,"ESS261H1/ESS262H1, ESS361H1/ESS362H1/GGR305H1 or permission of the instructor",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,LEC0101,Thursday,—,10:00,12:00,ES 2119,,"Finkelstein, S.",of  available,25,30,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Earth Sciences   (Faculty of Arts and Science),"Department of Earth Sciences   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,,,,
EAS,Democratic Struggles in Korea,EAS468H1-S,,,,,,"This seminar examines resistance, struggles, strikes and movements seen as constituting a troubled history of democracy across Korea’s long 20th century.",,,"EAS209H1, EAS271H1",Prerequisite:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC0101,Wednesday,—,15:00,17:00,BL 113,,,of  available,0,20,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1058 MA EAST ASIAN STUDIES  - Year 3,ASMAJ1058 MA EAST ASIAN STUDIES  - Year 4,,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494536,,—,,
ES,Advanced Topics in Earth Sciences,ESS481H1-F,Timetable instructions,Note:,https://www.es.utoronto.ca/programs/undergraduate/courses/,,,"This course is offered on an irregular basis, typically in the winter term. Students are advised to consult the departmental notices with respect to course times and content, but should expect an in-depth study of modern earth science questions, for example mineralogy and material science, advanced petrology, or exploration geochemistry. Course instructors will often, but not always, be recruited from Industry. https://www.es.utoronto.ca/programs/undergraduate/courses/",,,appropriate 300-level ESS credits. Prerequisites change from year to year; consult Department for details.,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC5101,Monday,—,17:00,19:00,ES 1062,,"Mitrofanov, A.",of  available,17,20,Yes: 0 student,In Person,,,,,,Subtitle,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494499,,,,
DRAMA,"Senior Seminar in Drama, Theatre and Performance Studies",DRM487H1-S,,,,,,An in-depth examination of selected issues in the theatre at the 400 level. Special Topics vary for Breadth distribution depending on the course content and therefore may be counted towards Groups A or B. Please consult the Undergraduate Drama office or check the program’s  for more details.,website,https://www.cdtps.utoronto.ca/,Specialist or Major in Drama; 14 FCE; DRM220Y1/DRM230Y1.,Prerequisite:,Humanities,Distribution Requirement:,,,LEC0101,Tuesday,—,10:00,13:00,IN 209,,"Gagliardi, F.",of  available,0,12,Yes: 9 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2148 MA DRAMA,ASSPE2148 SP DRAMA,Subtitle,,,,,,,,,,,,,,,,,,,,Room,,,,,https://map.utoronto.ca/?id=1809#!m/494541,,,,
DRAMA,"Independent Studies in Drama, Theatre and Performance Studies",DRM490Y1-Y,Timetable instructions,Note:,Fourth year Drama Major or Specialist students may apply for an independent study by following the .,CDTPS Independent Study Policy,https://www.cdtps.utoronto.ca/Independent-Study-Policy,"""",CDTPS Independent Study Policy,https://www.cdtps.utoronto.ca/Independent-Study-Policy,An independent research project at the 400 level proposed by the student in conversation with a full-time faculty member who agrees to act as their supervisor for the course. Not eligible for CR/NCR option. Please consult the  for further details.,Prerequisite:,"14.0 credits; Specialist or Major in Drama with a minimum 3.0 CGPA; Independent Study Application Form and description of project/syllabus signed by the student and the faculty supervisor; approval of the Centre for Drama, Theatre and Performance Studies (CDTPS). Application deadlines: August 1st for September start date; November 1st for January start date.",Distribution Requirement:,Humanities,,LEC0101,,—,,,—,—,,of  available,2,4,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,,
DRAMA,"Independent Studies in Drama, Theatre and Performance Studies",DRM491H1-F,Timetable instructions,Note:,Fourth year Drama Major or Specialist students may apply for an independent study by following the .,CDTPS Independent Study Policy,https://www.cdtps.utoronto.ca/Independent-Study-Policy,"""",CDTPS Independent Study Policy,https://www.cdtps.utoronto.ca/Independent-Study-Policy,An independent research project at the 400 level proposed by the student in conversation with a full-time faculty member who agrees to act as their supervisor for the course. Not eligible for CR/NCR option. Please consult the  for further details,Prerequisite:,"14.0 credits; Specialist or Major in Drama with a minimum 3.0 CGPA; Independent Study Application Form and description of project/syllabus signed by the student and the faculty supervisor; approval of the Centre for Drama, Theatre and Performance Studies (CDTPS). Application deadlines: August 1st for September start date; November 1st for January start date.",Distribution Requirement:,Humanities,,LEC0101,,—,,,,,,of  available,4,4,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,—,,
DRAMA,"Independent Studies in Drama, Theatre and Performance Studies",DRM491H1-S,Timetable instructions,Note:,Fourth year Drama Major or Specialist students may apply for an independent study by following the .,CDTPS Independent Study Policy,https://www.cdtps.utoronto.ca/Independent-Study-Policy,"""",CDTPS Independent Study Policy,https://www.cdtps.utoronto.ca/Independent-Study-Policy,An independent research project at the 400 level proposed by the student in conversation with a full-time faculty member who agrees to act as their supervisor for the course. Not eligible for CR/NCR option. Please consult the  for further details,Prerequisite:,"14.0 credits; Specialist or Major in Drama with a minimum 3.0 CGPA; Independent Study Application Form and description of project/syllabus signed by the student and the faculty supervisor; approval of the Centre for Drama, Theatre and Performance Studies (CDTPS). Application deadlines: August 1st for September start date; November 1st for January start date.",Distribution Requirement:,Humanities,,LEC0101,,—,,,,,,of  available,4,4,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,—,,
ES,Undergraduate Thesis Project,ESS491H1-F,,,,,,"Research emphasising methods used in field and experimental work. Students must obtain the consent of an instructor and register with the undergraduate coordinator and are urged to do so toward the end of their third year. In addition to submitting a thesis, students are required to give an oral presentation of their research results to an open meeting of the department. Not eligible for CR/NCR option.",,,"Completion of the required 300-level courses, and enrollment in a relevant program and permission of the department.",Prerequisite:,GLG471H1,Exclusion:,Science,Distribution Requirement:,LEC0101,,—,,,,,"Mazrouei-Seidani, S.",of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,,The Physical and Mathematical Universes (5),Breadth Requirement:
ES,Undergraduate Thesis Project,ESS491H1-S,,,,,,"Research emphasising methods used in field and experimental work. Students must obtain the consent of an instructor and register with the undergraduate coordinator and are urged to do so toward the end of their third year. In addition to submitting a thesis, students are required to give an oral presentation of their research results to an open meeting of the department. Not eligible for CR/NCR option.",,,"Completion of the required 300-level courses, and enrollment in a relevant program and permission of the department.",Prerequisite:,GLG471H1,Exclusion:,Science,Distribution Requirement:,LEC0101,,—,,,,,"Mazrouei-Seidani, S.",of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,,The Physical and Mathematical Universes (5),Breadth Requirement:
ES,Undergraduate Thesis Project,ESS492Y1-Y,,,,,,"Research emphasising methods used in field and experimental work. Students must obtain the consent of an instructor and register with the undergraduate coordinator and are urged to do so toward the end of their third year. In addition to submitting a thesis, students are required to give an oral presentation of their research results to an open meeting of the department. Not eligible for CR/NCR option.",,,Completion of the required 300-level courses in an appropriate program and permission of the department.,Prerequisite:,GLG470Y1,Exclusion:,Science,Distribution Requirement:,LEC0101,,—,,,—,—,"Mazrouei-Seidani, S.",of  available,9994,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Physical and Mathematical Universes (5),Breadth Requirement:
PHY,Seismology,JPE493H1-F,,,,,,"Why do earthquakes occur and how are they related to tectonic motion of the Earth's surface? What is the physics behind the propagation of seismic waves through the Earth, and how can it be used to determine the internal structures of the Earth? This introductory course is aimed at understanding the physics behind seismic wave propagation, as well as asymptotic and numerical solutions to the elastodynamic equation. Travel time and amplitude of seismic waves are discussed based on seismic ray theory, while numerical methods are introduced to obtain accurate solutions to more complex velocity structures. Seismic tomographic methods, including their applications to hydrocarbon reservoir imaging, are also covered.",,,"JPE395H1, APM346H1/APM351Y1/MAT351Y1",Prerequisite:,PHY493H1,Exclusion:,ESS345H1,Recommended Preparation:,LEC0101,Monday,—,15:00,16:00,SS 1069,SS 1069,"Liu, Q.",of  available,5,20,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,Room,Wednesday,—,15:00,16:00,https://map.utoronto.ca/?id=1809#!m/494510,,,Science,Distribution Requirement:
EAS,Advanced Topics in East Asian Studies,EAS496H1-F,Delivery instructions,Note:,Students are expected to participate synchronously at the scheduled time. Students who cannot attend synchronously for a reason such as time zone difference may request that recorded material be made available to them.,,,"An in-depth study of Chinese, Japanese or Korean culture, history and/or literature. Content depends on the instructor. When offered, the course will have a subtitle that describes its content.",,,EAS209H1,Prerequisite:,Humanities,Distribution Requirement:,,,LEC9901,Tuesday,—,15:00,17:00,,,"Vedal, N.",of  available,0,20,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1058 MA EAST ASIAN STUDIES  - Year 3,ASMAJ1058 MA EAST ASIAN STUDIES  - Year 4,Subtitle,,,,,,,,,,,,—,,,,,,,,Room,,,,,,,,,
