resultDept,pbot15,hiCC,extraTxt,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,enConList 3,enConList 4,extraTxt 18,extraTxt 19,extraTxt 20,extraTxt 21,weekDay 3,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 4,weekDay href,weekDay 5,weekDay href 2,enConList 5,enConList 6,headerSect 8,headerSect 9,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,dayInfo 7,dayInfo 8,dayInfo 9,colInst 2,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,legendControl 6,legendControl 7,enConDesc 2,alignC
ENG,Effective Writing,ENG100H1-F,Course Description:,"Practical tools for writing in university and beyond. Students will gain experience in generating ideas, clarifying insights, structuring arguments, composing paragraphs and sentences, critiquing and revising their writing, and communicating effectively to diverse audiences. This course may not be counted toward any English program.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Thursday,—,18:00,21:00,—,"Flynn, D.",of  available,2,200,Yes: 0 student,Online - Synchronous,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,Effective Writing,ENG100H1-S,Course Description:,"Practical tools for writing in university and beyond. Students will gain experience in generating ideas, clarifying insights, structuring arguments, composing paragraphs and sentences, critiquing and revising their writing, and communicating effectively to diverse audiences. This course may not be counted toward any English program.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Thursday,—,18:00,21:00,—,"Flynn, D.",of  available,0,200,Yes: 122 students,Online - Synchronous,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECO,Principles of Microeconomics,ECO101H1-F,Course Description:,"An introduction to economic analysis and its applications: price determination, market structure, decision making by individuals and firms, public policy. NOTE: extensive use of graphical and quantitative analysis.","ECO100Y1, ECO105Y1, ECO100Y5, ECO101H5, MGEA01H3, MGEA02H3",Exclusion:,MCV4U (Calculus & Vectors) and MHF4U (Advanced Functions); or equivalent secondary school mathematics credits,Recommended Preparation:,Room,LEC0101,Monday,—,15:00,16:00,—,"Gazzale, R.",of  available,13,490,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Wednesday,—,15:00,16:00,MS 2158,https://map.utoronto.ca/?id=1809#!m/494491,MS 2158,https://map.utoronto.ca/?id=1809#!m/494491,ASPRGHBA T Arts Transfer Degree Program,WW   CHRM Cert Human Resource Management,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,—,16:00,17:00,"Gazzale, R.",of  available,27,490,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",—
ECO,Principles of Microeconomics,ECO101H1-S,Course Description:,"An introduction to economic analysis and its applications: price determination, market structure, decision making by individuals and firms, public policy. NOTE: extensive use of graphical and quantitative analysis.","ECO100Y1, ECO105Y1, ECO100Y5, ECO101H5, MGEA01H3, MGEA02H3",Exclusion:,MCV4U (Calculus & Vectors) and MHF4U (Advanced Functions); or equivalent secondary school mathematics credits,Recommended Preparation:,Room,LEC0101,Tuesday,—,14:00,16:00,,"Freitas, K.",of  available,377,500,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Tuesday,—,16:00,18:00,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,ASPRGHBA T Arts Transfer Degree Program,WW   CHRM Cert Human Resource Management,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,,,,"Freitas, K.",of  available,353,450,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",—
ECO,Principles of Macroeconomics,ECO102H1-S,Course Description:,"An introduction to economic analysis and its applications from a macroeconomic (economy-wide) perspective. Topics covered include international trade and finance, role of money and the banking system, monetary and fiscal policy. Note: graphical and quantitative analysis are used extensively.","ECO101H1, ECO101H5, MGEA02H3",Prerequisite:,"ECO100Y1, ECO105Y1, ECO100Y5, ECO102H5, MGEA05H3, MGEA06H3",Exclusion:,Room,LEC0101,Monday,—,10:00,11:00,,"Brandt, L.",of  available,17,420,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1 COMMERCE     (Faculty of Arts and Science),Year 1 COMMERCE     (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",MCV4U (Calculus & Vectors) and MHF4U (Advanced Functions); or equivalent secondary school mathematics credits,Recommended Preparation:,Social Science,Distribution Requirement:,Wednesday,—,10:00,11:00,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,MS 2158,https://map.utoronto.ca/?id=1809#!m/494491,AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,—,11:00,12:00,"Brandt, L.",of  available,0,500,Yes: 4 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,—
ENG,Literature and the Sciences,ENG102H1-F,Course Description:,"Literature has always provided a place for the imaginative exploration of science, technology, and the physical universe. For students interested in literary treatments of science and scientific problems, concerns, and methods. Assumes no background in the methods and techniques of literary scholarship. This course may not be counted toward any English program.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECO,Principles of Economics for Non-Specialists,ECO105Y1-Y,Course Description:,"Fundamentals for consumers, businesses, citizens. Microeconomics focuses on cost/benefit analysis: gains from trade, price coordination, competition/monopoly, efficiency/equity tradeoffs, government/market failures, environmental policies, income/wealth distributions. Macroeconomics focuses on: GDP growth, unemployment, inflation, monetary/fiscal policies, business cycles, exchange rates, government deficits/debt, globalization. Emphasizes economic literacy, fewer mathematical tools than ECO101H1, ECO102H1.","ECO100Y1, ECO101H1, ECO102H1, ECO100Y5, ECO101H5, ECO102H5, MGEA01H3, MGEA02H3, MGEA05H3, MGEA06H3",Exclusion:,Social Science,Distribution Requirement:,,LEC0101,Monday,—,09:00,11:00,—,"Cohen, A.",of  available,1,500,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Year 1 COMMERCE     (Faculty of Arts and Science),AS   HBA T Arts Transfer Degree Program,Society and its Institutions (3),Breadth Requirement:,,,Monday,—,09:00,11:00,—,,—,,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0102,,,,"Cohen, A.",of  available,263,500,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",
EEB,Adaptation and Biodiversity,BIO120H1-F,Course Description:,"Principles and concepts of evolution and ecology related to origins of adaptation and biodiversity. Mechanisms and processes driving biological diversification illustrated from various perspectives using empirical and theoretical approaches. Topics include: genetic diversity, natural selection, speciation, physiological, population, and community ecology, maintenance of species diversity, conservation, species extinction, global environmental change, and invasion biology. A lab coat is required and the cost is approximately $16 if students wish to purchase it through the Department. (Lab Materials Fee: $26)",Grade 12 Biology or equivalent. Students without high school Biology must consult the BIO120 Office (bio120@utoronto.ca),Prerequisite:,Science,Distribution Requirement:,Room,LEC0101,2.0 hours / week,,,,—,"Frederickson, M.",of  available,0,500,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 SCIENCE     (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program,ASCRSHBSCT Science Tranfser Degree Program,ASPRGHBSCT Science Tranfser Degree Program,Living Things and Their Environment (4),Breadth Requirement:,All tests and the final assessment are online.,,2.0 hours / week,,,,—,,—,,Year 1 SCIENCE     (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,—,13:30,16:30,"Stinchcombe, J.",of  available,0,500,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",—
EEB,Introductory Computation and Data Science for the Life and Physical Sciences,EEB125H1-S,Course Description:,"Life and physical scientists increasingly use big and complex datasets to answer questions about society and the natural world. In this course, students will develop introductory programming knowledge and data acumen to explore topics drawn from biology, chemistry, physics, and psychology. Students will learn to create and run computer programs, organize ideas using data to communicate clearly to others, break a complex problem into simpler parts, apply general data science principles to specific cases, distinguish causation from correlation and coincidence, and negotiate tradeoffs between different computational and statistical approaches.","CSC111H1, CSC148H1, STA130H1, STA238H1, STA248H1, STA261H1, GGR274H1",Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,13:00,15:00,,"Gries, P.",of  available,114,150,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",AS   LFE1 A&S Yr 1 Studies Life Sciences  - Year 1,AS   MPS1 A&S Yr 1 Math & Phys Sciences  - Year 1,ASCRSLFE1 A&S Yr 1 Studies Life Sciences  - Year 1,ASCRSMPS1 A&S Yr 1 Math & Phys Sciences  - Year 1,The Physical and Mathematical Universes (5),Breadth Requirement:,,,,,,,UC 140,https://map.utoronto.ca/?id=1809#!m/494517,,,ASPRGLFE1 A&S Yr 1 Studies Life Sciences  - Year 1,ASPRGMPS1 A&S Yr 1 Math & Phys Sciences  - Year 1,,,,,,,,,,,,,,,,,,,,—
ENG,Literature for our Time,ENG140Y1-Y,Course Description:,"An exploration of how recent literature in English responds to our world. Includes poetry, prose, and drama by major writers of the twentieth century and emerging writers of the current century.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,LEC0101,Friday,—,14:00,16:00,VC 211,"Mount, N.",of  available,43,440,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,,,,,VC 211,,,,AH 103,https://map.utoronto.ca/?id=1809#!m/494605,AH 103,https://map.utoronto.ca/?id=1809#!m/494605,,,,,,,,,,,,,,,,,,,,,,—
ENG,Literary Traditions,ENG150Y1-Y,Course Description:,"An introduction to major authors, ideas, and texts that shaped and continue to inform the ever-evolving traditions of literature in English. Includes works and authors from antiquity to the nineteenth century such as the Bible, the Qur'an, Plato, Homer, Sappho, Virgil, Dante, Christine de Pizan, Shakespeare, Cervantes, Montaigne, Austen, Dostoevski.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,LEC0101,Monday,—,13:00,15:00,EM 205,"Nyquist, M.",of  available,32,180,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,,,,,EM 205,,,,UC 177,https://map.utoronto.ca/?id=1809#!m/494600,UC 177,https://map.utoronto.ca/?id=1809#!m/494600,,,,,,,,,,,,,,,,,,,,,,—
ENG,Cook the Books,ENG196H1-F,Course Description:,"If, as Brillat-Savarin so famously said, “you are what you eat”, then what are we? What do our eating choices reveal about us and what we value? In this class, we will examine stories about farming, cooking, and eating in order to understand how culture shapes culinary traditions and vice versa. But we don’t stop there: through cooking and eating together, we will create new stories about our food and our relationship to the earth that sustains us. Co-taught with a professional chef, this course combines literary and historical analysis with hands-on cooking classes, shared meals, and food-oriented field trips. Restricted to first-year students. Not eligible for CR/NCR option. An additional fee to cover food and field trip costs is required.","ENG197H1, ENG198H1, ENG199H1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,14:00,17:00,,"Most, A.",of  available,0,24,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,,HI 133,https://map.utoronto.ca/?id=1809#!m/494576,,,,,,,,,,,,,,,,,,,,,,,,
EEB,Biodiversity and the City,EEB197H1-F,Course Description:,"Most of us are urban creatures, but we as people are not the only urban creatures. In this seminar we will explore the diversity of animal and plant species comprising the ecological community that we call “Toronto”. We will learn their names, whether they are endemic (from here originally) or newcomers, general aspects of their biology that suit them to living in an urban environment, how natural selection shapes the traits similarly and differently for species in urban versus wilderness settings, and what happens when the wild and the domesticated members of the community meet one another. For non-science students in all years and disciplines. Restricted to first-year students. Not eligible for CR/NCR option.",Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,,"Jackson, D.",of  available,0,24,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 1    Innis College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),,,,,,,,,,,WE 75,https://map.utoronto.ca/?id=1809#!m/494509,,,,,,,,,,,,,,,,,,,,,,,,
ENG,Representing Disability,ENG197H1-S,Course Description:,"Understanding disability as a cultural concept—not a medical condition or personal misfortune—that describes how human variation matters in the world, this course asks: how do literary texts represent physical and intellectual disability? Reading drama, fiction, and poetry, we will consider how disability prompts new strategies of writing and thinking. Restricted to first-year students. Not eligible for CR/NCR option.","ENG196H1, ENG198H1, ENG199H1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,13:00,15:00,,"Williams, K.",of  available,0,24,Yes: 6 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 1    Innis College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),,,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,,SK 702,https://map.utoronto.ca/?id=1809#!m/494564,,,,,,,,,,,,,,,,,,,,,,,,
EEB,Genes and Behaviour,EEB198H1-S,Course Description:,In this course you will experience the new paradigm in behaviour genetic research. You will learn why the concept of a nature-nurture dichotomy is passé and that it has been replaced by a new understanding gained from animal and human research in the areas of gene by environment interaction and epigenetics. We will discuss how our genome listens to our environment and the effect this has on our health and behaviour. We will learn why our early experiences are critical for the development of our brains and our bodies. Together this new body of knowledge will help us understand how individual differences in behaviour and health arise. For non-science students in all years and disciplines. Restricted to first-year students. Not eligible for CR/NCR option.,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Wednesday,—,11:00,13:00,Contact DEPT,"Sokolowski, M.",of  available,0,24,Yes: 17 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,Monster Encounters: Monsters and the Monstrous in Literature,ENG198H1-F,Course Description:,"Monsters and the monstrous have been among the most compelling and frequently recurring elements in literature, from ancient times to the present day. From Homer's Cyclops to Ridley Scott's alien, monstrous figures have terrified and transfixed all those who come upon them. In this course, we will examine the figure of the monster to see what we might gain from our own encounter with the monstrous. Readings will include epic poems, novels, and critical selections from the burgeoning field of inquiry known as ""monster studies."" Restricted to first-year students. Not eligible for CR/NCR option.","ENG196H1, ENG197H1, ENG199H1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Thursday,—,14:00,16:00,,"Walton, A.",of  available,1,24,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,,LA 340,https://map.utoronto.ca/?id=1809#!m/494544,,,,,,,,,,,,,,,,,,,,,,,,
EEB,"Humans, Evolution and Ecology",EEB199H1-F,Course Description:,"Learn about the evolution and ecology of humans and other species. Through discussion, scientific literature research, seminal readings, written reports and presentations you will discover scientific answers to questions such as (topics vary among years): How did life originate? Why are there so many species? Where did humans come from? Will humans become extinct? How can we explain human DNA and human brain size? Need we worry about climate change? What is causing the sixth extinction crisis? Are there ecological limits to human population size? What will life be like in the Anthropocene? Are humans still evolving? For non-science students in all years and disciplines. Restricted to first-year students.  Not eligible for CR/NCR option.",Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC9901,Tuesday,—,14:00,16:00,—,"Bravo Ordonez, A.",of  available,1,24,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEB,"Humans, Evolution and Ecology",EEB199H1-S,Course Description:,"Learn about the evolution and ecology of humans and other species. Through discussion, scientific literature research, seminal readings, written reports and presentations you will discover scientific answers to questions such as (topics vary among years): How did life originate? Why are there so many species? Where did humans come from? Will humans become extinct? How can we explain human DNA and human brain size? Need we worry about climate change? What is causing the sixth extinction crisis? Are there ecological limits to human population size? What will life be like in the Anthropocene? Are humans still evolving? For non-science students in all years and disciplines. Restricted to first-year students.  Not eligible for CR/NCR option.",Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,,"Rowe, L.",of  available,0,24,Yes: 7 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,,,,,,,,,,,,,,,,,,,,,,,,
ENG,Tree Stories,ENG199H1-F,Course Description:,"Trees are all around us. We climb them, tell stories about them, write on paper, at desks, in homes made from them. But most people tend to take them for granted. This course considers how we imagine trees in works of art and legend and what trees can teach us about our own place in the world. We will read stories and poems as well as exploring the trees around campus and the environment we share. Restricted to first-year students. Not eligible for CR/NCR option.","ENG196H1, ENG197H1, ENG198H1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,,"Ackerman, A.",of  available,4,24,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,,UC 152,https://map.utoronto.ca/?id=1809#!m/494517,,,,,,,,,,,,,,,,,,,,,,,,
ECO,Microeconomic Theory,ECO200Y1-Y,Course Description:,"Theory of markets and prices. Determination of prices through the interaction of the basic economic units, the household as consumer and as supplier of inputs and the business firm as producer and as employer of inputs. The pricing system as the mechanism by which social decisions and allocation of goods are made in a market economy.","ECO100Y1(67%)/(ECO101H1(63%); ECO102H1(63%))/ECO105Y1(80%)/ECO100Y5(67%)/(ECO101H5(63%); ECO102H5(63%))/(MGEA02H3 (67%); MGEA06H3 (67%)); MAT133Y1/(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1",Prerequisite:,"ECO204Y1, ECO206Y1, ECO200Y5, ECO204Y5, ECO205Y5, ECO206Y5, MGEB01H3, MGEB02H3, MGEC02H3",Exclusion:,,LEC0101,Monday,—,09:00,11:00,WI 1016,"Khazra, N.",of  available,7,162,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Economics   (Faculty of Arts and Science),"Department of Economics   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ2660 MA PUBLIC POLICY,ASSPE1540 SP APPLIED STATISTICS,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Wednesday,—,09:00,11:00,WI 1016,https://map.utoronto.ca/?id=1809#!m/494578,WI 1016,https://map.utoronto.ca/?id=1809#!m/494578,ASSPE2270 SP STATISTICAL SCI: METH & PRA,Department of Economics   (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,—,12:00,14:00,"Khazra, N.",of  available,1,162,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",
ENG,Reading Poetry,ENG201Y1-Y,Course Description:,"An introduction to poetry through a close reading of texts, focusing on its traditional forms, themes, techniques, and uses of language; its historical and geographical range; and its twentieth-century diversity.",1.0 ENG FCE or any 4.0 FCE,Prerequisite:,Humanities,Distribution Requirement:,,LEC0101,Tuesday,—,13:00,15:00,LA 340,"Woodland, M.",of  available,12,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1645 MA ENGLISH,ASMIN1645 MI ENGLISH,ASSPE1645 SP ENGLISH,,Creative and Cultural Representations (1),Breadth Requirement:,,,LA 340,,,,TC 24,https://map.utoronto.ca/?id=1809#!m/494517,TC 24,https://map.utoronto.ca/?id=1809#!m/494517,,,,,,,,,,,,,,,,,,,,,,—
ECO,Macroeconomic Theory and Policy,ECO202Y1-Y,Course Description:,"Theory of output, employment and the price level; techniques for achieving economic stability; central banking and Canadian financial institutions and markets; foreign exchange markets and the exchange rate. This course is not intended for students enrolled in the BCom program; please see ECO209Y1.","ECO100Y1(67%)/(ECO101H1(63%); ECO102H1(63%))/ECO105Y1(80%)/ECO100Y5(67%)/(ECO101H5(63%); ECO102H5(63%))/(MGEA02H3 (67%); MGEA06H3 (67%)); MAT133Y1/(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1",Prerequisite:,"ECO208Y1, ECO209Y1, ECO202Y5, ECO208Y5, ECO209Y5, MGEB05H3, MGEB06H3, MGEC06H3",Exclusion:,,LEC0101,Monday,—,18:00,20:00,SS 2118,"Anjomshoa, M.",of  available,9,150,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Economics   (Faculty of Arts and Science),"Department of Economics   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASSPE1540 SP APPLIED STATISTICS,ASSPE2270 SP STATISTICAL SCI: METH & PRA,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Tuesday,—,15:00,17:00,SS 2118,https://map.utoronto.ca/?id=1809#!m/494463,SS 2118,https://map.utoronto.ca/?id=1809#!m/494463,Department of Economics   (Faculty of Arts and Science),ASSPE1540 SP APPLIED STATISTICS,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,—,18:00,20:00,"Anjomshoa, M.",of  available,2,150,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",
